id,name,team,position,price,status,chance_of_playing,news,news_added,minutes,total_points,form,xG,xA,ict_index,defensive_contribution,selected_by_percent,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,starts,clean_sheets,goals_conceded,xGC,saves,cost_change_start
1,Raya,ARS,GKP,6.0,a,,,,3330,162,0.0,0.0,0.07,57.5,0.0,37.2,,,,37,19,26,27.56,60,0
2,Arrizabalaga,ARS,GKP,5.0,a,,,,90,2,0.0,0.0,0.0,2.0,0.0,0.1,,,,1,0,1,0.98,2,0
3,Meslier,ARS,GKP,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
4,Gabriel,ARS,DEF,8.0,a,,,,2750,209,0.0,2.94,1.75,125.0,277.0,29.7,,,,30,18,20,22.01,0,0
5,J.Timber,ARS,DEF,6.5,i,0,Groin injury - Unknown return date,2026-07-23T12:01:23.272929+00:00,2452,149,0.0,4.71,1.53,125.7,148.0,0.1,,,,28,13,20,17.45,0,0
6,Saliba,ARS,DEF,6.0,i,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376+00:00,2614,137,0.0,0.88,1.21,84.3,193.0,0.3,,,,30,15,20,20.41,0,0
7,Lewis-Skelly,ARS,MID,5.5,a,,,,697,29,0.0,0.1,0.2,17.6,25.0,0.6,,,,5,2,8,9.01,0,0
8,Calafiori,ARS,DEF,5.5,a,,,,1697,109,0.0,3.36,0.76,77.9,102.0,37.0,,,,22,13,8,9.72,0,0
9,Hincapie,ARS,DEF,5.5,a,,,,1787,87,0.0,0.36,1.67,70.9,171.0,2.0,,,,20,5,19,17.53,0,0
10,White,ARS,DEF,5.5,a,100,,2026-07-23T12:01:23.305229+00:00,699,45,0.0,0.45,0.69,34.3,53.0,4.0,,,,9,5,6,8.68,0,0
11,Mosquera,ARS,DEF,5.5,a,,,,986,40,0.0,0.1,0.63,32.9,95.0,7.2,,,,9,3,8,9.04,0,0
12,Saka,ARS,MID,9.5,a,,,,2218,157,0.0,7.57,7.16,230.6,184.0,9.2,1,2,2,25,12,16,15.57,0,0
13,Rice,ARS,MID,7.5,a,,,,3093,184,0.0,3.15,7.32,215.4,376.0,18.4,,1,1,35,18,25,23.87,0,0
14,Eze,ARS,MID,6.5,a,,,,1885,113,0.0,5.18,2.66,115.1,120.0,2.2,,3,,22,11,14,14.21,0,0
15,Ødegaard,ARS,MID,6.5,a,,,,1363,74,0.0,1.25,3.65,104.4,102.0,7.6,3,,4,16,6,13,16.2,0,0
16,Madueke,ARS,MID,6.5,a,,,,1205,72,0.0,1.23,2.86,101.3,70.0,0.3,,,6,16,8,9,12.77,0,0
17,Merino,ARS,MID,6.0,a,,,,1024,67,0.0,3.36,1.45,73.6,113.0,0.7,,,,10,4,10,7.36,0,0
18,Martinelli,ARS,MID,6.5,a,,,,1065,57,0.0,4.12,1.27,79.0,77.0,0.2,,,,11,2,8,10.51,0,0
19,Zubimendi,ARS,MID,5.5,a,,,,2991,133,0.0,2.84,2.27,126.2,307.0,1.2,,,,34,16,25,26.09,0,0
20,Dowman,ARS,MID,5.5,a,,,,152,16,0.0,1.19,0.3,16.6,16.0,0.1,,,,1,1,1,0.88,0,0
21,Nørgaard,EVE,MID,5.0,i,0,Unspecified injury - Unknown return date,2026-08-15T20:00:06.779594+00:00,101,7,0.0,0.08,0.04,4.0,16.0,0.2,,,,1,0,1,2.28,0,0
22,Nwaneri,ARS,MID,5.5,a,,,,165,8,0.0,0.23,0.08,5.4,13.0,0.0,,,,0,1,0,0.73,0,0
23,Fábio Vieira,ARS,MID,5.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
24,Nelson,ARS,MID,5.5,a,,,,118,13,0.0,0.71,0.11,10.0,23.0,0.0,,,,0,0,2,3.02,0,0
25,Gyökeres,ARS,FWD,7.5,a,,,,2217,128,0.0,12.26,1.94,157.5,85.0,9.5,2,,,26,12,14,17.81,0,0
26,Havertz,ARS,FWD,7.5,a,,,,577,36,0.0,3.31,0.64,49.9,32.0,5.0,,,,7,4,4,6.68,0,0
27,G.Jesus,ARS,FWD,6.0,a,,,,418,24,0.0,2.71,0.26,47.5,30.0,0.4,,,,3,1,6,3.97,0,0
28,Martinez,AVL,GKP,5.0,a,,,,2835,120,0.0,0.0,0.08,79.2,0.0,4.4,,,,32,7,39,42.92,95,0
29,M.Bizot,AVL,GKP,4.5,a,,,,585,16,0.0,0.0,0.0,13.9,0.0,0.1,,,,6,1,10,11.02,19,0
30,Digne,AVL,DEF,4.5,u,0,Has joined Paris Saint-Germain permanently,2026-08-10T14:03:30.089007+00:00,1842,97,0.0,0.67,3.28,98.5,113.0,0.2,,,,21,7,23,27.79,0,0
31,Konsa,AVL,DEF,4.5,a,,,,3035,100,0.0,1.27,0.59,84.0,196.0,14.6,,,,34,9,44,48.93,0,0
32,Cash,AVL,DEF,4.5,a,,,,3016,117,0.0,1.14,2.94,137.5,186.0,8.5,,,1,34,8,38,45.45,0,0
33,Mings,AVL,DEF,4.5,a,,,,1322,50,0.0,1.3,0.42,46.8,107.0,0.3,,,,15,3,23,23.37,0,0
34,Pau,AVL,DEF,4.5,a,,,,1673,64,0.0,1.33,0.39,45.1,112.0,0.4,,,,18,5,19,22.81,0,0
35,Bogarde,AVL,MID,5.0,a,,,,1042,40,0.0,0.0,0.2,20.6,60.0,0.1,,,,11,2,17,15.38,0,0
36,Maatsen,AVL,DEF,4.5,a,,,,1590,54,0.0,1.26,2.39,94.3,128.0,0.8,,,,17,2,27,26.64,0,0
37,Lindelöf,AVL,DEF,4.5,a,,,,942,29,0.0,0.28,0.1,22.7,54.0,0.3,,,,11,1,15,15.93,0,0
38,A.García,AVL,DEF,4.0,a,,,,83,5,0.0,0.0,0.01,2.3,10.0,1.7,,,,1,0,3,2.74,0,0
39,Nedeljkovic,AVL,DEF,4.0,u,0,Has joined Rangers on loan for the rest of the season,2026-08-19T13:56:46.385411+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.4,,,,0,0,0,0.0,0,0
40,Rogers,CHE,MID,7.5,a,,,,3280,169,0.0,6.84,4.32,232.0,230.0,24.9,,,4,37,9,48,51.55,0,0
41,Buendía,AVL,MID,6.0,a,,,,1753,102,0.0,3.38,2.23,121.4,197.0,1.4,1,1,,21,3,24,28.03,0,0
42,Guessand,CRY,MID,5.5,a,,,,909,44,0.0,1.56,0.85,42.0,83.0,0.0,,,,9,2,15,14.48,0,0
43,Tielemans,MUN,MID,6.0,a,100,,2026-07-23T12:01:23.321726+00:00,1857,68,0.0,1.14,3.26,113.1,203.0,2.5,3,,,21,4,27,31.34,0,0
44,Bailey,AVL,MID,5.5,a,,,,450,21,0.0,0.5,1.46,30.1,48.0,0.1,,,,3,0,9,7.03,0,0
45,McGinn,AVL,MID,5.5,a,,,,2136,103,0.0,3.0,4.11,137.3,150.0,3.3,,,2,28,8,28,33.08,0,0
46,Barkley,AVL,MID,5.0,a,,,,844,56,0.0,1.58,1.26,58.1,74.0,0.2,,,,7,1,15,13.2,0,0
47,Kamara,AVL,MID,5.0,a,100,,2026-07-23T12:01:23.337269+00:00,1410,61,0.0,0.53,0.84,64.2,149.0,0.3,,,,17,5,15,20.8,0,0
48,Onana,AVL,MID,5.0,i,0,Knee injury - Unknown return date,2026-07-23T12:01:23.352497+00:00,1755,76,0.0,1.68,0.69,74.4,219.0,0.0,,,,21,6,26,28.53,0,0
49,Iling Jr,AVL,MID,5.0,u,0,Has joined Bolton Wanderers on loan for the rest of the season,2026-08-17T13:52:28.532616+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
50,Burrowes,AVL,MID,4.5,a,,,,16,1,0.0,0.0,0.0,0.0,1.0,0.7,,,,0,0,1,0.9,0,0
51,George Hemmings,AVL,MID,4.5,a,,,,25,2,0.0,0.04,0.01,0.3,1.0,0.7,,,,0,0,0,0.61,0,0
52,Alysson,AVL,MID,5.0,a,,,,47,3,0.0,0.05,0.05,1.5,4.0,0.0,,,,0,0,2,1.87,0,0
53,Manzambi,AVL,MID,6.0,i,0,Knee injury - Unknown return date,2026-08-15T15:30:06.388335+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.4,,,,0,0,0,0.0,0,0
54,Gomes,AVL,MID,5.5,i,0,Calf injury - Unknown return date,2026-08-15T16:00:07.546807+00:00,2207,85,0.0,1.15,1.34,102.0,387.0,0.1,,,,25,4,41,48.6,0,0
55,Watkins,AVL,FWD,8.0,a,,,,2833,167,0.0,15.4,1.18,225.2,94.0,10.6,2,,,33,9,38,43.39,0,0
56,Abraham,AVL,FWD,5.5,d,75,Knock - 75% chance of playing,2026-08-15T16:00:07.558543+00:00,278,23,0.0,2.05,0.36,27.1,13.0,0.1,,,,2,0,8,5.12,0,0
57,Petrović,BOU,GKP,4.5,a,,,,3420,124,0.0,0.0,0.0,82.4,0.0,3.3,,,,38,11,54,56.72,109,0
58,Forster,BOU,GKP,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,3.2,,,,0,0,0,0.0,0,0
59,Dennis,BOU,GKP,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.2,,,,0,0,0,0.0,0,0
60,Hill,BOU,DEF,5.5,a,,,,2102,110,0.0,0.89,1.16,86.3,260.0,0.9,,,,22,8,24,33.42,0,0
61,Truffert,BOU,DEF,5.5,a,,,,3378,165,0.0,1.35,3.07,162.6,301.0,4.5,,,,38,11,51,54.42,0,0
62,Diakité,BOU,DEF,5.0,a,,,,1275,46,0.0,0.02,0.19,34.4,117.0,0.2,,,,15,4,27,22.47,0,0
63,Milosavljević,BOU,DEF,5.0,i,0,Unspecified injury - Unknown return date,2026-08-06T10:00:10.456051+00:00,367,19,0.0,0.15,0.19,12.2,39.0,0.0,,,,4,1,6,4.42,0,0
64,Smith,BOU,DEF,4.5,a,,,,1073,58,0.0,0.0,0.23,27.1,70.0,0.1,,,,14,6,16,18.18,0,0
65,J.Araujo,BOU,DEF,4.5,i,0,Thigh injury - Unknown return date,2026-08-09T08:00:05.645826+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
66,Soler,BOU,DEF,4.0,d,75,Hamstring injury - 75% chance of playing,2026-08-15T16:30:07.021055+00:00,34,3,0.0,0.0,0.0,0.6,1.0,0.2,,,,0,0,2,1.62,0,0
67,Rayan,BOU,MID,6.5,a,,,,1110,67,0.0,2.67,1.84,75.3,82.0,2.8,,,,13,6,10,19.14,0,0
68,Tavernier,BOU,MID,6.0,a,,,,2732,137,0.0,9.06,4.6,207.9,251.0,1.6,3,1,1,31,11,44,41.06,0,0
69,Scott,BOU,MID,6.0,a,,,,2848,136,0.0,3.8,2.94,139.0,386.0,1.5,,4,2,34,11,41,47.02,0,0
70,Kluivert,BOU,MID,6.0,a,,,,945,41,0.0,2.31,1.55,58.8,65.0,1.1,2,2,3,10,4,19,17.96,0,0
71,Cook,BOU,MID,5.0,a,,,,872,40,0.0,0.07,0.52,40.6,143.0,0.1,,,5,8,1,19,14.0,0,0
72,Gannon-Doak,BOU,MID,5.0,a,,,,105,11,0.0,0.26,0.13,8.9,13.0,0.1,,,,0,0,1,4.74,0,0
73,Adams,BOU,MID,5.0,d,75,Unspecified injury - 75% chance of playing,2026-08-15T16:30:07.029928+00:00,1769,77,0.0,0.63,0.63,66.3,232.0,0.2,,,,21,7,28,27.18,0,0
74,Brooks,BOU,MID,5.0,d,75,Unspecified injury - 75% chance of playing,2026-08-15T16:30:07.037929+00:00,1188,59,0.0,5.81,3.4,104.1,94.0,0.1,,3,4,13,5,20,20.25,0,0
75,Christie,BOU,MID,5.0,s,0,Suspended until 29 Aug,2026-07-24T17:30:10.035483+00:00,978,47,0.0,1.81,0.79,64.7,123.0,0.0,,,6,9,3,14,19.14,0,0
76,Tóth.A,BOU,MID,5.0,a,,,,135,8,0.0,0.11,0.33,9.6,17.0,0.0,,,,2,0,3,4.9,0,0
77,Adli,BOU,MID,5.0,i,0,Unspecified injury - Unknown return date,2026-08-15T16:00:07.590566+00:00,1074,67,0.0,2.6,1.62,76.1,123.0,0.0,,,,10,3,17,18.22,0,0
78,Kroupi.Jr,BOU,MID,7.5,i,0,Foot injury - Unknown return date,2026-07-29T17:30:09.796802+00:00,1663,113,0.0,8.31,1.51,139.9,112.0,0.6,1,,,21,10,21,25.91,0,0
79,Evanilson,BOU,FWD,6.0,a,,,,2741,115,0.0,10.64,1.48,155.5,135.0,2.2,,,,32,11,40,39.02,0,0
80,Enes Ünal,BOU,FWD,5.5,u,0,Has joined Getafe permanently,2026-08-14T14:14:21.881112+00:00,214,27,0.0,2.0,0.07,19.1,23.0,0.0,,,,0,0,3,6.16,0,0
81,Rodríguez,BOU,FWD,6.0,d,75,Unspecified injury - 75% chance of playing,2026-08-15T16:30:07.054142+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
82,Kelleher,BRE,GKP,5.0,a,,,,3330,143,0.0,0.0,0.22,93.8,0.0,5.8,,,,37,10,49,53.48,109,0
83,Valdimarsson,BRE,GKP,4.5,a,,,,90,1,0.0,0.0,0.0,1.3,0.0,0.1,,,,1,0,3,0.97,1,0
84,Collins,BRE,DEF,5.5,a,,,,2971,129,0.0,2.24,1.71,131.9,319.0,1.8,,,,32,9,44,47.52,0,0
85,Van den Berg,BRE,DEF,5.0,i,0,Unspecified injury - Unknown return date,2026-08-15T15:30:06.416627+00:00,2761,113,0.0,3.36,1.45,106.3,272.0,0.2,,,,30,8,41,41.59,0,0
86,Lewis-Potter,BRE,MID,5.5,a,,,,1960,115,0.0,3.01,2.51,106.4,74.0,0.4,,1,,22,9,32,33.74,0,0
87,Ajer,BRE,DEF,4.5,a,,,,1805,76,0.0,0.69,0.73,62.7,192.0,3.0,,,,20,5,32,31.51,0,0
88,Kayode,BRE,DEF,4.5,a,,,,3258,113,0.0,1.28,2.89,121.7,219.0,3.2,,,,37,10,49,52.65,0,0
89,Henry,BRE,DEF,4.5,a,,,,1322,52,0.0,0.18,0.54,26.9,68.0,0.3,,,,14,4,22,23.91,0,0
90,Hickey,BRE,DEF,4.5,a,,,,679,37,0.0,0.44,0.17,16.0,51.0,0.1,,,,8,2,9,9.03,0,0
91,Pinnock,BRE,DEF,4.5,a,,,,318,14,0.0,0.01,0.06,12.3,42.0,0.1,,,,4,1,5,3.7,0,0
92,Ji-soo,BRE,DEF,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
93,Schuster,BRE,DEF,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.2,,,,0,0,0,0.0,0,0
94,Schade,BRE,MID,6.0,a,,,,2744,125,0.0,12.08,2.05,172.8,190.0,3.6,2,,,32,11,34,40.05,0,0
95,O.Dango,BRE,MID,6.5,a,,,,2271,136,0.0,7.94,4.12,162.8,185.0,1.2,,,2,25,6,35,34.75,0,0
96,Damsgaard,BRE,MID,5.5,a,,,,2046,113,0.0,2.61,5.43,155.0,241.0,0.6,,3,3,24,5,32,31.55,0,0
97,Jensen,BRE,MID,5.5,a,,,,2239,98,0.0,2.21,6.06,126.9,220.0,0.2,3,2,1,26,9,33,35.72,0,0
98,Janelt,BRE,MID,5.0,a,,,,1434,74,0.0,0.82,2.27,79.0,183.0,0.1,,,4,15,5,21,26.62,0,0
99,Milambo,BRE,MID,5.0,i,0,Knee injury - Unknown return date,2026-07-23T12:01:23.384798+00:00,45,1,0.0,0.0,0.01,0.6,4.0,0.0,,,,1,0,3,1.49,0,0
100,Carvalho,BRE,MID,5.0,d,75,Lack of match fitness - 75% chance of playing,2026-08-18T13:58:17.442072+00:00,100,13,0.0,0.7,0.03,8.1,8.0,0.0,,,,1,0,4,2.08,0,0
101,Henderson,CHE,MID,5.0,d,75,Wrist injury - 75% chance of playing,2026-08-09T09:30:07.136250+00:00,1911,76,0.0,0.33,2.31,74.4,183.0,0.0,,,,22,6,28,28.16,0,0
102,Yarmoliuk,BRE,MID,5.0,a,,,,2652,104,0.0,1.22,1.39,83.4,338.0,1.4,,,,30,8,42,40.31,0,0
103,Dasilva,BRE,MID,5.0,a,,,,2,2,0.0,0.08,0.0,1.6,1.0,0.0,,,,0,0,0,0.05,0,0
104,Onyeka,COV,MID,5.0,a,,,,88,12,0.0,0.0,0.36,4.6,10.0,0.1,,,,0,0,2,2.02,0,0
105,Anthony,BRE,MID,6.0,a,,,,0,0,0.0,0.0,0.0,0.0,232.0,0.2,,,,0,0,0,0.0,0,0
106,Thiago,BRE,FWD,8.0,a,,,,3282,181,0.0,20.6,1.83,256.9,214.0,17.2,1,,,37,10,50,53.17,0,0
107,Furo,BRE,FWD,4.5,a,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.9,,,,0,0,0,0.02,0,0
108,Wilson,BRE,FWD,5.5,a,,,,0,0,0.0,0.0,0.0,0.0,41.0,0.3,,,,0,0,0,0.0,0,0
109,Verbruggen,BHA,GKP,4.5,a,,,,3420,130,0.0,0.0,0.06,94.7,0.0,21.4,,,,38,10,46,49.06,106,0
110,Rushworth,COV,GKP,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.1,,,,0,0,0,0.0,0,0
111,Steele,BHA,GKP,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,4.2,,,,0,0,0,0.0,0,0
112,Van Hecke,TOT,DEF,5.0,a,,,,3210,148,0.0,3.31,1.57,152.0,317.0,9.6,,,,36,10,44,46.27,0,0
113,F.Kadıoğlu,BHA,DEF,4.5,a,,,,3130,118,0.0,2.06,3.31,123.7,170.0,3.0,,,3,34,10,41,44.61,0,0
114,Boscagli,BHA,DEF,4.5,a,,,,799,39,0.0,0.05,0.47,31.1,78.0,0.2,,,,9,3,10,10.87,0,0
115,De Cuyper,BHA,DEF,4.5,a,,,,1404,84,0.0,1.66,4.08,99.9,64.0,1.7,,4,2,17,5,23,24.09,0,0
116,Dunk,BHA,DEF,4.5,a,,,,2837,100,0.0,1.83,0.56,98.7,231.0,1.0,,3,,31,7,40,41.9,0,0
117,Coppola,BHA,DEF,4.5,a,,,,193,10,0.0,0.0,0.01,4.8,18.0,0.0,,,,2,1,3,4.52,0,0
118,Igor,BHA,DEF,4.5,a,,,,103,6,0.0,0.0,0.0,3.6,13.0,0.1,,,,1,0,3,4.66,0,0
119,Costinha,BHA,DEF,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
120,Svoboda,BHA,DEF,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
121,Mitoma,BHA,MID,6.0,i,0,Hamstring injury - Unknown return date,2026-07-24T18:30:10.661894+00:00,1714,62,0.0,4.04,2.74,112.3,107.0,0.1,,,,19,5,20,23.76,0,0
122,Minteh,BHA,MID,6.0,i,0,Leg injury - Expected back 28 Nov,2026-08-14T18:00:06.418033+00:00,2389,117,0.0,3.81,5.06,180.3,185.0,0.1,,,5,26,11,33,34.09,0,0
123,Hinshelwood,BHA,MID,6.0,a,,,,1736,91,0.0,4.94,2.34,94.8,114.0,0.4,,,,20,7,23,27.83,0,0
124,Groß,BHA,MID,5.5,a,,,,1636,78,0.0,1.39,3.95,128.5,145.0,14.4,1,1,1,18,6,17,20.36,0,0
125,Georginio,BHA,FWD,5.5,a,,,,1776,87,0.0,2.9,2.9,113.5,131.0,0.9,,,,20,7,20,21.59,0,0
